Inversion Individual Karyotype
LGC1.1 P38-H02-Plate-38-ExpSkerry-031.GT 3
LGC1.1 P38-H03-Plate-38-ExpSkerry-016.GT 3
LGC1.1 P38-H04-Plate-38-ExpSkerry-001.GT 3
LGC1.1 P38-H05-Plate-38-RefW-097.GT 3
LGC1.1 P38-H06-Plate-38-RefW-076.GT 3
LGC1.1 P39-A02-Plate-39-ExpSkerry-021.GT 3
LGC1.1 P39-A03-Plate-39-ExpSkerry-015.GT 3
LGC1.1 P39-A04-Plate-39-ExpSkerry-009.GT 3
LGC1.1 P39-A05-Plate-39-ExpSkerry-020.GT 3
LGC1.1 P39-A06-Plate-39-DonCrab-112.GT 3
LGC1.1 P39-B01-Plate-39-ExpSkerry-019.GT 3
LGC1.1 P39-B03-Plate-39-RefW-089.GT 3
LGC1.1 P39-B04-Plate-39-ExpSkerry-040.GT 3
LGC1.1 P39-B05-Plate-39-ExpSkerry-034.GT 3
LGC1.1 P39-B06-Plate-39-ExpSkerry-049.GT 3
LGC1.1 P39-C01-Plate-39-RefW-065.GT 3
LGC1.1 P39-C02-Plate-39-ExpSkerry-035.GT 3
LGC1.1 P39-C04-Plate-39-ExpSkerry-033.GT 3
LGC1.1 P39-C05-Plate-39-RefW-066.GT 3
LGC1.1 P39-C06-Plate-39-DonCrab-135.GT 3
LGC1.1 P39-D03-Plate-39-DonCrab-147.GT 3
LGC1.1 P39-D05-Plate-39-RefW-094.GT 3
LGC1.1 P39-D06-Plate-39-RefW-072.GT 3
LGC1.1 P39-E02-Plate-39-RefW-054.GT 3
LGC1.1 P39-E03-Plate-39-RefW-095.GT 3
LGC1.1 P39-E06-Plate-39-RefW-067.GT 3
LGC1.1 P39-F01-Plate-39-ExpSkerry-037.GT 3
LGC1.1 P39-F02-Plate-39-ExpSkerry-024.GT 3
LGC1.1 P39-F03-Plate-39-RefW-055.GT 3
LGC1.1 P39-F05-Plate-39-RefW-064.GT 3
LGC1.1 P39-F06-Plate-39-RefW-071.GT 3
LGC1.1 P39-G01-Plate-39-RefW-078.GT 3
LGC1.1 P39-G02-Plate-39-ExpSkerry-048.GT 3
LGC1.1 P39-G03-Plate-39-DonCrab-119.GT 3
LGC1.1 P39-G04-Plate-39-ExpSkerry-043.GT 3
LGC1.1 P39-G05-Plate-39-DonCrab-128.GT 3
LGC1.1 P39-H01-Plate-39-RefW-075.GT 3
LGC1.1 P39-H02-Plate-39-RefW-091.GT 3
LGC1.1 P39-H03-Plate-39-ExpSkerry-047.GT 3
LGC1.1 P39-H04-Plate-39-ExpSkerry-002.GT 3
LGC1.1 P39-H05-Plate-39-RefW-052.GT 3
LGC1.1 P39-H06-Plate-39-RefW-098.GT 3
LGC1.1 P40-B01-Plate-40-RefW-081.GT 3
LGC1.1 P40-B04-Plate-40-DonCrab-106.GT 3
LGC1.1 P40-B05-Plate-40-ExpSkerry-010.GT 3
LGC1.1 P40-C01-Plate-40-DonCrab-122.GT 3
LGC1.1 P40-C02-Plate-40-RefW-096.GT 3
LGC1.1 P40-C03-Plate-40-ExpSkerry-039.GT 3
LGC1.1 P40-C04-Plate-40-RefW-093.GT 3
LGC1.1 P40-C05-Plate-40-ExpSkerry-046.GT 3
LGC1.1 P40-D02-Plate-40-RefW-084.GT 3
LGC1.1 P40-D03-Plate-40-ExpSkerry-028.GT 3
LGC1.1 P40-E04-Plate-40-DonCrab-114.GT 3
LGC1.1 P40-F01-Plate-40-ExpSkerry-013.GT 3
LGC1.1 P40-F02-Plate-40-RefW-058.GT 3
LGC1.1 P40-F03-Plate-40-ExpSkerry-011.GT 3
LGC1.1 P40-F04-Plate-40-RefW-062.GT 3
LGC1.1 P40-F05-Plate-40-RefW-085.GT 3
LGC1.1 P40-G01-Plate-40-RefW-060.GT 3
LGC1.1 P40-G02-Plate-40-ExpSkerry-041.GT 3
LGC1.1 P40-G03-Plate-40-RefW-057.GT 3
LGC1.1 P40-G04-Plate-40-ExpSkerry-023.GT 3
