N0_set r_set K_set M_set gen_factor nll
80 0.025 2000 1 1.33333333333333 5826.26588772641
160 0.025 2000 1 1.33333333333333 5742.19144977499
320 0.025 2000 1 1.33333333333333 5747.1059635141
20 0.05 2000 1 1.33333333333333 6058.25206722904
40 0.05 2000 1 1.33333333333333 5865.11299106253
80 0.05 2000 1 1.33333333333333 5749.00608172505
160 0.05 2000 1 1.33333333333333 5718.29059479213
320 0.05 2000 1 1.33333333333333 5758.75991119016
20 0.1 2000 1 1.33333333333333 5842.60693473944
40 0.1 2000 1 1.33333333333333 5739.2962766259
80 0.1 2000 1 1.33333333333333 5704.95807146451
160 0.1 2000 1 1.33333333333333 5732.93960619529
320 0.1 2000 1 1.33333333333333 5800.18847767027
20 0.2 2000 1 1.33333333333333 5749.96470111988
40 0.2 2000 1 1.33333333333333 5717.64292814941
80 0.2 2000 1 1.33333333333333 5736.84882141448
160 0.2 2000 1 1.33333333333333 5792.96340499613
320 0.2 2000 1 1.33333333333333 5858.16874314404
20 0.4 2000 1 1.33333333333333 5734.41472947818
40 0.4 2000 1 1.33333333333333 5747.46361491101
80 0.4 2000 1 1.33333333333333 5799.54138372728
160 0.4 2000 1 1.33333333333333 5859.08041908657
320 0.4 2000 1 1.33333333333333 5906.06577932946
20 0.025 4000 1 1.33333333333333 6257.52772008709
40 0.025 4000 1 1.33333333333333 6002.7676085859
80 0.025 4000 1 1.33333333333333 5823.23655591337
160 0.025 4000 1 1.33333333333333 5739.44779363235
320 0.025 4000 1 1.33333333333333 5747.24934007942
20 0.05 4000 1 1.33333333333333 6054.84225552933
40 0.05 4000 1 1.33333333333333 5860.45067991141
80 0.05 4000 1 1.33333333333333 5744.54737531948
160 0.05 4000 1 1.33333333333333 5716.49470470245
320 0.05 4000 1 1.33333333333333 5764.91492800985
20 0.1 4000 1 1.33333333333333 5837.346017924
40 0.1 4000 1 1.33333333333333 5735.2357683668
80 0.1 4000 1 1.33333333333333 5705.45173456725
160 0.1 4000 1 1.33333333333333 5743.21609231399
320 0.1 4000 1 1.33333333333333 5825.87405171825
20 0.2 4000 1 1.33333333333333 5757.70685551661
40 0.2 4000 1 1.33333333333333 5731.14736604246
80 0.2 4000 1 1.33333333333333 5758.86223982736
160 0.2 4000 1 1.33333333333333 5828.79021418152
320 0.2 4000 1 1.33333333333333 5911.13640946467
20 0.4 4000 1 1.33333333333333 5755.99947205305
40 0.4 4000 1 1.33333333333333 5775.86099327573
80 0.4 4000 1 1.33333333333333 5841.62638044549
160 0.4 4000 1 1.33333333333333 5918.34841868261
320 0.4 4000 1 1.33333333333333 5981.01404397653
20 0.025 250 2 1.33333333333333 6138.03068053469
40 0.025 250 2 1.33333333333333 5944.86903961923
80 0.025 250 2 1.33333333333333 5812.06320916578
160 0.025 250 2 1.33333333333333 5749.36265051198
320 0.025 250 2 1.33333333333333 5746.73091440607
20 0.05 250 2 1.33333333333333 5989.73631900998
40 0.05 250 2 1.33333333333333 5850.38560023577
80 0.05 250 2 1.33333333333333 5767.30504344777
160 0.05 250 2 1.33333333333333 5738.97526399064
320 0.05 250 2 1.33333333333333 5748.43286442797
20 0.1 250 2 1.33333333333333 5837.00493580573
40 0.1 250 2 1.33333333333333 5763.85118245349
80 0.1 250 2 1.33333333333333 5732.69797239028
160 0.1 250 2 1.33333333333333 5733.31376913385
320 0.1 250 2 1.33333333333333 5748.28045348196
20 0.2 250 2 1.33333333333333 5753.5019824947
40 0.2 250 2 1.33333333333333 5725.50455339503
80 0.2 250 2 1.33333333333333 5724.05491815055
160 0.2 250 2 1.33333333333333 5734.69791239762
320 0.2 250 2 1.33333333333333 5746.15960000241
20 0.4 250 2 1.33333333333333 5730.29056337803
40 0.4 250 2 1.33333333333333 5723.09520972858
80 0.4 250 2 1.33333333333333 5729.91168394989
160 0.4 250 2 1.33333333333333 5738.24019431152
320 0.4 250 2 1.33333333333333 5744.15319803994
20 0.025 500 2 1.33333333333333 6125.26213056166
40 0.025 500 2 1.33333333333333 5926.95572843412
80 0.025 500 2 1.33333333333333 5790.50643170864
160 0.025 500 2 1.33333333333333 5729.01204186775
320 0.025 500 2 1.33333333333333 5736.69344036964
20 0.05 500 2 1.33333333333333 5965.52983155758
40 0.05 500 2 1.33333333333333 5819.21993564739
